pathogenid,Name,abs,classified,TID,B,O,F,G,G_abb
1987733,bat associated cyclovirus 8,BACyV-8,1,1987733,group ii,na,circoviridae,cyclovirus,Cycl
1987734,bat associated cyclovirus 9,BACyV-9,1,1987734,group ii,na,circoviridae,cyclovirus,Cycl
2169485,bat cyclovirus,,,2169485,group ii,na,circoviridae,cyclovirus,Cycl
2050927,bovine associated cyclovirus 1,,,2050927,group ii,na,circoviridae,cyclovirus,Cycl
26745719,bovine cyclovirus,,,1455632,group ii,na,circoviridae,cyclovirus,Cycl
1455631,capra hircus cyclovirus,,,1455631,group ii,na,circoviridae,cyclovirus,Cycl
2051672,chimpanzee associated cyclovirus 1,,,2051672,group ii,na,circoviridae,cyclovirus,Cycl
26205622,chimpanzee cyclovirus,,,1455629,group ii,na,circoviridae,cyclovirus,Cycl
26747895,feline associated cyclovirus 1,FeACyV-1,1,1987742,group ii,na,circoviridae,cyclovirus,Cycl
2050926,goat associated cyclovirus 1,,,2050926,group ii,na,circoviridae,cyclovirus,Cycl
27394608,horse associated cyclovirus 1,,,1987743,group ii,na,circoviridae,cyclovirus,Cycl
2038719,human associated cyclovirus 1,human associated cyclovirus 1,0,2038719,group ii,na,circoviridae,cyclovirus,Cycl
2038728,human associated cyclovirus 10,human associated cyclovirus 10,0,2038728,group ii,na,circoviridae,cyclovirus,Cycl
27307312,human associated cyclovirus 11,human associated cyclovirus 11,0,1987745,group ii,na,circoviridae,cyclovirus,Cycl
2169855,human associated cyclovirus 12,human associated cyclovirus 12,0,2169855,group ii,na,circoviridae,cyclovirus,Cycl
2038720,human associated cyclovirus 2,human associated cyclovirus 2,0,2038720,group ii,na,circoviridae,cyclovirus,Cycl
2038721,human associated cyclovirus 3,human associated cyclovirus 3,0,2038721,group ii,na,circoviridae,cyclovirus,Cycl
2038722,human associated cyclovirus 4,human associated cyclovirus 4,0,2038722,group ii,na,circoviridae,cyclovirus,Cycl
2038723,human associated cyclovirus 5,human associated cyclovirus 5,0,2038723,group ii,na,circoviridae,cyclovirus,Cycl
2038724,human associated cyclovirus 6,human associated cyclovirus 6,0,2038724,group ii,na,circoviridae,cyclovirus,Cycl
2038725,human associated cyclovirus 7,human associated cyclovirus 7,0,2038725,group ii,na,circoviridae,cyclovirus,Cycl
26321396,human associated cyclovirus 8,human associated cyclovirus 8,0,2038726,group ii,na,circoviridae,cyclovirus,Cycl
2038727,human associated cyclovirus 9,human associated cyclovirus 9,0,2038727,group ii,na,circoviridae,cyclovirus,Cycl
1455626,human cyclovirus,human cyclovirus,0,1455626,group ii,na,circoviridae,cyclovirus,Cycl
2169856,mouse associated cyclovirus 1,,,2169856,group ii,na,circoviridae,cyclovirus,Cycl
1987744,squirrel associated cyclovirus 1,,,1987744,group ii,na,circoviridae,cyclovirus,Cycl
1455628,sus scrofa cyclovirus,sus scrofa cyclovirus,0,1455628,group ii,na,circoviridae,cyclovirus,Cycl
1455627,tadarida brasiliensis cyclovirus,tadarida brasiliensis cyclovirus,0,1455627,group ii,na,circoviridae,cyclovirus,Cycl
24584726,avian gyrovirus 2,avian gyrovirus 2,0,1002273,group ii,na,circoviridae,gyrovirus,Gyro
3437778,chicken anemia virus,Chicken anemia virus,0,12618,group ii,na,circoviridae,gyrovirus,Gyro
2583049,gyrovirus 3,Gyrovirus 3,1,2583049,group ii,na,circoviridae,gyrovirus,Gyro
27238812,gyrovirus 4,Gyrovirus 4,1,1214955,group ii,na,circoviridae,gyrovirus,Gyro
2583050,gyrovirus 6,Gyrovirus 6,1,2583050,group ii,na,circoviridae,gyrovirus,Gyro
27463524,human associated gemykibivirus 4,human associated gemykibivirus 4,0,2004961,group ii,na,genomoviridae,gemykibivirus,Gemkb
27492676,human associated gemykibivirus 5,human associated gemykibivirus 5,0,2004962,group ii,na,genomoviridae,gemykibivirus,Gemkb
27407022,human associated gemyvongvirus 1,human associated gemyvongvirus 1,0,1985415,group ii,na,genomoviridae,gemykibivirus,Gemkb
26747873,arctic fox amdovirus,,,1513314,group ii,na,parvoviridae,amdoparvovirus,Amdpar
25911109,carnivore amdoparvovirus 1,,,1511862,group ii,na,parvoviridae,amdoparvovirus,Amdpar
26552469,carnivore amdoparvovirus 2,,,1511863,group ii,na,parvoviridae,amdoparvovirus,Amdpar
27305904,carnivore amdoparvovirus 3,,,2169702,group ii,na,parvoviridae,amdoparvovirus,Amdpar
26205118,bat bocavirus,,,1329649,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26747411,canine bocavirus,,,1108949,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26747643,canine bocavirus 3,,,1295080,group ii,na,parvoviridae,bocaparvovirus,Bocpar
3784819,carnivore bocaparvovirus 1,,,1511866,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26318076,carnivore bocaparvovirus 3,,,1511868,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26747773,carnivore bocaparvovirus 4,,,2169767,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26747687,fox bocavirus,,,1328055,group ii,na,parvoviridae,bocaparvovirus,Bocpar
4032202,human bocavirus 4,human bocavirus 4,0,645161,group ii,na,parvoviridae,bocaparvovirus,Bocpar
27502044,human bufavirus,human bufavirus,0,1903319,group ii,na,parvoviridae,bocaparvovirus,Bocpar
27742799,miniopterus fuliginosus bocavirus,,,1329680,group ii,na,parvoviridae,bocaparvovirus,Bocpar
24641367,pinniped bocaparvovirus 1,,,1511869,group ii,na,parvoviridae,bocaparvovirus,Bocpar
24641369,pinniped bocaparvovirus 2,,,1511870,group ii,na,parvoviridae,bocaparvovirus,Bocpar
27064412,porcine bocavirus,,,1165907,group ii,na,parvoviridae,bocaparvovirus,Bocpar
24649679,porcine bocavirus 4,,,1084716,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26343680,porcine bocavirus 5,,,1133653,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26205402,primate bocaparvovirus 1,,,1511871,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26205640,primate bocaparvovirus 2,,,1511872,group ii,na,parvoviridae,bocaparvovirus,Bocpar
27190778,rabbit bocaparvovirus,,,1769949,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26303126,rat bocavirus,,,1788315,group ii,na,parvoviridae,bocaparvovirus,Bocpar
3435406,ungulate bocaparvovirus 1,,,1511873,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26355740,ungulate bocaparvovirus 2,,,1511874,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26355742,ungulate bocaparvovirus 3,,,1511875,group ii,na,parvoviridae,bocaparvovirus,Bocpar
26553217,ungulate bocaparvovirus 5,,,1511877,group ii,na,parvoviridae,bocaparvovirus,Bocpar
27718775,ungulate bocaparvovirus 6,UBPV6,,1864484,group ii,na,parvoviridae,bocaparvovirus,Bocpar
27786500,eidolon helvum parvovirus 2,eidolon helvum parvovirus 2,0,1335482,group ii,na,parvoviridae,chapparvovirus,Chappar
27064458,porcine parvovirus 7,,,1820046,group ii,na,parvoviridae,chapparvovirus,Chappar
4083126,ungulate copiparvovirus 2,,,1511890,group ii,na,parvoviridae,copiparvovirus,Coppar
26552295,adeno-associated dependoparvovirus a,AAV-A,0,1511891,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
26552297,adeno-associated dependoparvovirus b,AAV-B,0,1511892,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
3736135,adeno-associated virus,AAV,0,272636,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
4095360,chiropteran dependoparvovirus 1,BtAAV,,1511897,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
26747689,fox adeno-associated virus,Fox AAV,0,1328057,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
3795592,mouse adeno-associated virus 1,Mouse AAV-1,0,341226,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
26552931,pinniped dependoparvovirus 1,,,1511898,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
3795593,rat adeno-associated virus 1,Rat AAV-1,0,341227,group ii,na,parvoviridae,dependoparvovirus,Dpnpar
26205642,primate erythroparvovirus 1,,,1511900,group ii,na,parvoviridae,erythroparvovirus,Erytpar
3446955,primate erythroparvovirus 2,,,1511901,group ii,na,parvoviridae,erythroparvovirus,Erytpar
26747693,fox parvovirus,,,1328105,group ii,na,parvoviridae,parvoviridae,NA
27810616,hipposideros pratti parvovirus,,,1387876,group ii,na,parvoviridae,parvoviridae,NA
3784821,human bocavirus,human bocavirus,0,329641,group ii,na,parvoviridae,parvoviridae,NA
27810618,miniopterus schreibersii parvovirus,,,1387877,group ii,na,parvoviridae,parvoviridae,NA
27810620,myotis ricketti parvovirus,,,1387878,group ii,na,parvoviridae,parvoviridae,NA
27860016,rangifer tarandus granti parvovirus,,,1489731,group ii,na,parvoviridae,parvoviridae,NA
27722105,sea otter parvovirus 1,sea otter parvovirus 1,0,1882382,group ii,na,parvoviridae,parvoviridae,NA
27327870,slow loris parvovirus 1,,,1581151,group ii,na,parvoviridae,parvoviridae,NA
27222176,artibeus jamaicensis parvovirus 1,,,1131485,group ii,na,parvoviridae,parvovirinae,NA
26205220,bat parvovirus,bat PARV,0,1514704,group ii,na,parvoviridae,parvovirinae,NA
26523804,bufavirus-1,Bufavirus-1,1,1209382,group ii,na,parvoviridae,parvovirinae,NA
26523806,bufavirus-2,Bufavirus-2,1,1209383,group ii,na,parvoviridae,parvovirinae,NA
26523836,bufavirus-3,Bufavirus-3,1,1391667,group ii,na,parvoviridae,parvovirinae,NA
27064460,porcine bufavirus,,,1828531,group ii,na,parvoviridae,parvovirinae,NA
27064414,porcine partetravirus,,,1208310,group ii,na,parvoviridae,parvovirinae,NA
25911279,carnivore protoparvovirus 1,CPV,1,1511906,group ii,na,parvoviridae,protoparvovirus,Protpar
27440409,chiropteran protoparvovirus 1,BtBuV1,1,2170147,group ii,na,parvoviridae,protoparvovirus,Protpar
3435408,feline parvovirus,feline parvovirus,0,10785,group ii,na,parvoviridae,protoparvovirus,Protpar
3465118,hamster parvovirus,,,42843,group ii,na,parvoviridae,protoparvovirus,Protpar
27327782,livingstone bufavirus,,,1580059,group ii,na,parvoviridae,protoparvovirus,Protpar
27440397,megabat bufavirus 2,,,1756189,group ii,na,parvoviridae,protoparvovirus,Protpar
27614199,mfuwe bufavirus,,,1580060,group ii,na,parvoviridae,protoparvovirus,Protpar
27327780,mpulungu bufavirus,,,1580058,group ii,na,parvoviridae,protoparvovirus,Protpar
27064386,porcine parvovirus 2,,,1126383,group ii,na,parvoviridae,protoparvovirus,Protpar
27064388,porcine parvovirus 3,,,1126384,group ii,na,parvoviridae,protoparvovirus,Protpar
27064420,porcine parvovirus 5,,,1241957,group ii,na,parvoviridae,protoparvovirus,Protpar
27064432,porcine parvovirus 6,,,1472911,group ii,na,parvoviridae,protoparvovirus,Protpar
26302866,rat minute virus,,,1299922,group ii,na,parvoviridae,protoparvovirus,Protpar
3435425,rodent protoparvovirus 1,MVM,1,1511908,group ii,na,parvoviridae,protoparvovirus,Protpar
26745923,seal parvovirus,seal parvovirus,0,1427158,group ii,na,parvoviridae,protoparvovirus,Protpar
27614211,solwezi bufavirus,,,1580061,group ii,na,parvoviridae,protoparvovirus,Protpar
3435429,ungulate protoparvovirus 1,PPV,1,1511910,group ii,na,parvoviridae,protoparvovirus,Protpar
26319152,chiropteran tetraparvovirus 1,CTV-1,1,1511912,group ii,na,parvoviridae,tetraparvovirus,Tetpar
3748335,primate tetraparvovirus 1,PTV-1,1,1511913,group ii,na,parvoviridae,tetraparvovirus,Tetpar
26355746,ungulate tetraparvovirus 1,UTV-1,1,1511914,group ii,na,parvoviridae,tetraparvovirus,Tetpar
3933119,ungulate tetraparvovirus 2,UTV-2,1,1511915,group ii,na,parvoviridae,tetraparvovirus,Tetpar
26355748,ungulate tetraparvovirus 3,UTV-3,1,1511916,group ii,na,parvoviridae,tetraparvovirus,Tetpar
26355750,ungulate tetraparvovirus 4,UTV-4,1,1511917,group ii,na,parvoviridae,tetraparvovirus,Tetpar
27623029,human smacovirus 1,human smacovirus 1,0,1595998,group ii,na,smacoviridae,huchismacovirus,Hushmc
26205554,gorilla smacovirus,,,1603068,group ii,na,smacoviridae,porprismacovirus,Porpmac
27627521,black howler monkey smacovirus,,,1603066,group ii,na,smacoviridae,smacoviridae,NA
26205624,chimpanzee smacovirus,,,1603067,group ii,na,smacoviridae,smacoviridae,NA
27342242,lemur smacovirus,,,1603069,group ii,na,smacoviridae,smacoviridae,NA
25871175,bovine picobirnavirus,boPBV,1,1977295,group iii,na,picobirnaviridae,picobirnavirus,Picbr
25871209,dromedary picobirnavirus,dromPBV,1,1574421,group iii,na,picobirnaviridae,picobirnavirus,Picbr
25871225,feline picobirnavirus,FePBV,1,1417758,group iii,na,picobirnaviridae,picobirnavirus,Picbr
25871229,fox picobirnavirus,FoPBV,1,1328056,group iii,na,picobirnaviridae,picobirnavirus,Picbr
3620988,human picobirnavirus,human picobirnavirus,0,145856,group iii,na,picobirnaviridae,picobirnavirus,Picbr
25871279,otarine picobirnavirus,OtPBV,1,1187973,group iii,na,picobirnaviridae,picobirnavirus,Picbr
3886774,porcine picobirnavirus,PoPBV,1,442302,group iii,na,picobirnaviridae,picobirnavirus,Picbr
3572356,rabbit picobirnavirus,RabPBV,1,104395,group iii,na,picobirnaviridae,picobirnavirus,Picbr
3472021,colorado tick fever virus,CTFV,1,46839,group iii,na,reoviridae,coltivirus,Colt
3499249,eyach virus,,,62352,group iii,na,reoviridae,coltivirus,Colt
3460146,african horse sickness virus,AHSV,1,40050,group iii,na,reoviridae,orbivirus,Orbi
3460148,bluetongue virus,BTV,1,40051,group iii,na,reoviridae,orbivirus,Orbi
22681827,changuinola virus,,,40052,group iii,na,reoviridae,orbivirus,Orbi
3460152,epizootic hemorrhagic disease virus,EHDV-1,1,40054,group iii,na,reoviridae,orbivirus,Orbi
3671890,equine encephalosis virus,,,201490,group iii,na,reoviridae,orbivirus,Orbi
3460154,eubenangee virus,,,40056,group iii,na,reoviridae,orbivirus,Orbi
3674497,great island virus,,,204269,group iii,na,reoviridae,orbivirus,Orbi
26532146,heramatsu virus,,,1416744,group iii,na,reoviridae,orbivirus,Orbi
22683139,lebombo virus,,,40057,group iii,na,reoviridae,orbivirus,Orbi
3906921,middle point orbivirus,MPOV,1,464979,group iii,na,reoviridae,orbivirus,Orbi
26532144,mobuck virus,,,1408137,group iii,na,reoviridae,orbivirus,Orbi
22683091,orungo virus,,,40058,group iii,na,reoviridae,orbivirus,Orbi
3460156,palyam virus,PALV,1,40059,group iii,na,reoviridae,orbivirus,Orbi
3809306,peruvian horse sickness virus,PHSV,1,356862,group iii,na,reoviridae,orbivirus,Orbi
3763440,yunnan orbivirus,,,306276,group iii,na,reoviridae,orbivirus,Orbi
3456925,avian orthoreovirus,ARV,0,38170,group iii,na,reoviridae,orthoreovirus,Orthor
3522003,baboon orthoreovirus,BRV,1,75888,group iii,na,reoviridae,orthoreovirus,Orthor
4050298,broome virus,,,667093,group iii,na,reoviridae,orthoreovirus,Orthor
3804442,mammalian orthoreovirus,MRV,1,351073,group iii,na,reoviridae,orthoreovirus,Orthor
3595788,nelson bay orthoreovirus,NBV,1,118027,group iii,na,reoviridae,orthoreovirus,Orthor
25926061,pteropine orthoreovirus,PRV,1,1459003,group iii,na,reoviridae,orthoreovirus,Orthor
26205252,bat rotavirus,bat ROTV,0,1340801,group iii,na,reoviridae,rotavirus,Rota
24641372,california sea lion rotavirus 1,california sea lion rotavirus 1,0,1073965,group iii,na,reoviridae,rotavirus,Rota
3435648,equine rotavirus,,,10937,group iii,na,reoviridae,rotavirus,Rota
3435622,feline rotavirus,FeRV,1,10921,group iii,na,reoviridae,rotavirus,Rota
26747775,feline rotavirus viseu,feline rotavirus viseu,0,1417760,group iii,na,reoviridae,rotavirus,Rota
27725495,human rotavirus,human rotavirus,0,1906931,group iii,na,reoviridae,rotavirus,Rota
3442126,murine rotavirus,,,28327,group iii,na,reoviridae,rotavirus,Rota
3442995,rotavirus a,RotA,1,28875,group iii,na,reoviridae,rotavirus,Rota
3442996,rotavirus b,RotB,1,28876,group iii,na,reoviridae,rotavirus,Rota
3454045,rotavirus c,RotC,1,36427,group iii,na,reoviridae,rotavirus,Rota
26346512,rotavirus h,RotH,1,1348384,group iii,na,reoviridae,rotavirus,Rota
26745797,rotavirus i,RotI,1,1637496,group iii,na,reoviridae,rotavirus,Rota
3525422,banna virus,BAV,,77763,group iii,na,reoviridae,seadornavirus,Seadrn
3572703,kadipiro virus,,,104580,group iii,na,reoviridae,seadornavirus,Seadrn
3712150,liao ning virus,,,246280,group iii,na,reoviridae,seadornavirus,Seadrn
27699795,bastrovirus bas-1,,,2025396,group iv,na,astroviridae,astroviridae,NA
26205112,bat astrovirus,Bat astrovirus,0,1697918,group iv,na,astroviridae,astroviridae,NA
2169486,bat bastrovirus,Bat aastrovirus,0,2169486,group iv,na,astroviridae,astroviridae,NA
4220459,bottlenose dolphin astrovirus 2,bottlenose dolphin astrovirus 2,0,943153,group iv,na,astroviridae,astroviridae,NA
4220461,bottlenose dolphin astrovirus 4,bottlenose dolphin astrovirus 4,0,943155,group iv,na,astroviridae,astroviridae,NA
4220462,bottlenose dolphin astrovirus 5,bottlenose dolphin astrovirus 5,0,943156,group iv,na,astroviridae,astroviridae,NA
4220463,bottlenose dolphin astrovirus 6,bottlenose dolphin astrovirus 6,0,943157,group iv,na,astroviridae,astroviridae,NA
4220464,bottlenose dolphin astrovirus 7,bottlenose dolphin astrovirus 7,0,943158,group iv,na,astroviridae,astroviridae,NA
4220465,bottlenose dolphin astrovirus 8,bottlenose dolphin astrovirus 8,0,943159,group iv,na,astroviridae,astroviridae,NA
26745673,bovine astrovirus neuros1,bovine astrovirus neuros1,0,1348859,group iv,na,astroviridae,astroviridae,NA
24641359,california sea lion astrovirus 10,california sea lion astrovirus 10,0,1073951,group iv,na,astroviridae,astroviridae,NA
24641360,california sea lion astrovirus 11,california sea lion astrovirus 11,0,1073952,group iv,na,astroviridae,astroviridae,NA
4032422,california sea lion astrovirus 3,california sea lion astrovirus 3,0,645428,group iv,na,astroviridae,astroviridae,NA
24641361,california sea lion astrovirus 4,california sea lion astrovirus 4,0,1073953,group iv,na,astroviridae,astroviridae,NA
24641362,california sea lion astrovirus 5,california sea lion astrovirus 5,0,1073954,group iv,na,astroviridae,astroviridae,NA
24641363,california sea lion astrovirus 6,california sea lion astrovirus 6,0,1073955,group iv,na,astroviridae,astroviridae,NA
24641364,california sea lion astrovirus 7,california sea lion astrovirus 7,0,1073956,group iv,na,astroviridae,astroviridae,NA
24641365,california sea lion astrovirus 8,california sea lion astrovirus 8,0,1073957,group iv,na,astroviridae,astroviridae,NA
24641366,california sea lion astrovirus 9,california sea lion astrovirus 9,0,1073958,group iv,na,astroviridae,astroviridae,NA
26747691,fox astrovirus,,,1328104,group iv,na,astroviridae,astroviridae,NA
26747685,fox astrovirus f4,,,1328054,group iv,na,astroviridae,astroviridae,NA
2461425,goat astrovirus,,,2461425,group iv,na,astroviridae,astroviridae,NA
2039492,house shrew astrovirus,,,2039492,group iv,na,astroviridae,astroviridae,NA
27079817,human astrovirus,human astrovirus,0,1868658,group iv,na,astroviridae,astroviridae,NA
27425849,megaerops kusnotoi astrovirus,,,1747667,group iv,na,astroviridae,astroviridae,NA
27742755,miniopterus fuliginosus astrovirus,,,1329678,group iv,na,astroviridae,astroviridae,NA
1195280,miniopterus schreibersii astrovirus 1,miniopterus schreibersii astrovirus 1,0,1195280,group iv,na,astroviridae,astroviridae,NA
1195281,miniopterus schreibersii astrovirus 10,miniopterus schreibersii astrovirus 10,0,1195281,group iv,na,astroviridae,astroviridae,NA
1195282,miniopterus schreibersii astrovirus 11,miniopterus schreibersii astrovirus 11,0,1195282,group iv,na,astroviridae,astroviridae,NA
1195283,miniopterus schreibersii astrovirus 12,miniopterus schreibersii astrovirus 12,0,1195283,group iv,na,astroviridae,astroviridae,NA
1195284,miniopterus schreibersii astrovirus 13,miniopterus schreibersii astrovirus 13,0,1195284,group iv,na,astroviridae,astroviridae,NA
1195285,miniopterus schreibersii astrovirus 2,miniopterus schreibersii astrovirus 2,0,1195285,group iv,na,astroviridae,astroviridae,NA
1195286,miniopterus schreibersii astrovirus 3,miniopterus schreibersii astrovirus 3,0,1195286,group iv,na,astroviridae,astroviridae,NA
1195287,miniopterus schreibersii astrovirus 4,miniopterus schreibersii astrovirus 4,0,1195287,group iv,na,astroviridae,astroviridae,NA
1195288,miniopterus schreibersii astrovirus 5,miniopterus schreibersii astrovirus 5,0,1195288,group iv,na,astroviridae,astroviridae,NA
1195289,miniopterus schreibersii astrovirus 6,miniopterus schreibersii astrovirus 6,0,1195289,group iv,na,astroviridae,astroviridae,NA
1195290,miniopterus schreibersii astrovirus 7,miniopterus schreibersii astrovirus 7,0,1195290,group iv,na,astroviridae,astroviridae,NA
1195291,miniopterus schreibersii astrovirus 8,miniopterus schreibersii astrovirus 8,0,1195291,group iv,na,astroviridae,astroviridae,NA
1195292,miniopterus schreibersii astrovirus 9,miniopterus schreibersii astrovirus 9,0,1195292,group iv,na,astroviridae,astroviridae,NA
4220466,minke whale astrovirus 1,minke whale astrovirus 1,0,943160,group iv,na,astroviridae,astroviridae,NA
26302812,murine astrovirus,,,1141625,group iv,na,astroviridae,astroviridae,NA
2171379,murine astrovirus 1,,,2171379,group iv,na,astroviridae,astroviridae,NA
2171380,murine astrovirus 2,,,2171380,group iv,na,astroviridae,astroviridae,NA
1195368,myotis ricketti astrovirus 1,,,1195368,group iv,na,astroviridae,astroviridae,NA
4220468,orca astrovirus 1,,,943162,group iv,na,astroviridae,astroviridae,NA
24657742,porcine astrovirus 5,,,1093928,group iv,na,astroviridae,astroviridae,NA
2588662,porcine bastrovirus,,,2588662,group iv,na,astroviridae,astroviridae,NA
26205652,primate astrovirus,primate astrovirus,0,1736109,group iv,na,astroviridae,astroviridae,NA
2039491,rat astrovirus,,,2039491,group iv,na,astroviridae,astroviridae,NA
2126056,rhesus monkey astrovirus,,,2126056,group iv,na,astroviridae,astroviridae,NA
2108207,rhinolophus ferrumequinum astrovirus,,,2108207,group iv,na,astroviridae,astroviridae,NA
2108208,rhinolophus pusillus astrovirus,,,2108208,group iv,na,astroviridae,astroviridae,NA
1195369,rhinolophus sinicus astrovirus 1,,,1195369,group iv,na,astroviridae,astroviridae,NA
2050009,shrew astrovirus,,,2050009,group iv,na,astroviridae,astroviridae,NA
2220003,sichuan takin astrovirus,,,2220003,group iv,na,astroviridae,astroviridae,NA
2529473,tasmanian devil-associated astrovirus 1,,,2529473,group iv,na,astroviridae,astroviridae,NA
1195375,tylonycteris robustula astrovirus 1,,,1195375,group iv,na,astroviridae,astroviridae,NA
26745739,water buffalo astrovirus,,,1495051,group iv,na,astroviridae,astroviridae,NA
26552357,avastrovirus 2,,,1239438,group iv,na,astroviridae,avastrovirus,AvAST
3791609,chicken astrovirus,,,336959,group iv,na,astroviridae,avastrovirus,AvAST
26748071,feline avastrovirus,FAstV,1,1792584,group iv,na,astroviridae,avastrovirus,AvAST
2161797,marmot astrovirus 1,,,2161797,group iv,na,astroviridae,avastrovirus,AvAST
2161798,marmot astrovirus 2,,,2161798,group iv,na,astroviridae,avastrovirus,AvAST
2161799,marmot astrovirus 3,,,2161799,group iv,na,astroviridae,avastrovirus,AvAST
2161800,marmot astrovirus 4,,,2161800,group iv,na,astroviridae,avastrovirus,AvAST
2161801,marmot astrovirus 5,,,2161801,group iv,na,astroviridae,avastrovirus,AvAST
2161802,marmot astrovirus 6,,,2161802,group iv,na,astroviridae,avastrovirus,AvAST
27864762,mink avastrovirus,,,1516078,group iv,na,astroviridae,avastrovirus,AvAST
3977363,bat astrovirus 1,Bat astrovirus 1,0,548468,group iv,na,astroviridae,mamastrovirus,MamAST
4220460,bottlenose dolphin astrovirus 3,,,943154,group iv,na,astroviridae,mamastrovirus,MamAST
23539052,bovine astrovirus,,,1435485,group iv,na,astroviridae,mamastrovirus,MamAST
26316980,burkina faso astrovirus,,,1518574,group iv,na,astroviridae,mamastrovirus,MamAST
26747467,canine astrovirus,,,1157338,group iv,na,astroviridae,mamastrovirus,MamAST
26552463,canine astrovirus 1,,,1131333,group iv,na,astroviridae,mamastrovirus,MamAST
3958925,cheetah astrovirus 1,,,526120,group iv,na,astroviridae,mamastrovirus,MamAST
24330059,dog astrovirus,,,871260,group iv,na,astroviridae,mamastrovirus,MamAST
27660195,dromedary astrovirus,,,1662272,group iv,na,astroviridae,mamastrovirus,MamAST
26328080,feline astrovirus 2,FAstV-2,1,1389204,group iv,na,astroviridae,mamastrovirus,MamAST
26748073,feline mamastrovirus,FE-MaAtV,1,1792585,group iv,na,astroviridae,mamastrovirus,MamAST
4063617,hmo astrovirus a,,,682382,group iv,na,astroviridae,mamastrovirus,MamAST
4063618,hmo astrovirus b,,,682383,group iv,na,astroviridae,mamastrovirus,MamAST
4063619,hmo astrovirus c,,,682384,group iv,na,astroviridae,mamastrovirus,MamAST
26552795,mamastrovirus 1,MaAtV-1,1,1239565,group iv,na,astroviridae,mamastrovirus,MamAST
3688849,mamastrovirus 10,MaAtV-10,1,1239574,group iv,na,astroviridae,mamastrovirus,MamAST
4032420,mamastrovirus 11,MaAtV-11,1,1239575,group iv,na,astroviridae,mamastrovirus,MamAST
4021711,mamastrovirus 12,MaAtV-12,1,1239576,group iv,na,astroviridae,mamastrovirus,MamAST
3512921,mamastrovirus 13,MaAtV-13,1,1239577,group iv,na,astroviridae,mamastrovirus,MamAST
1239578,mamastrovirus 14,MaAtV-14,1,1239578,group iv,na,astroviridae,mamastrovirus,MamAST
4021712,mamastrovirus 15,MaAtV-15,1,1239579,group iv,na,astroviridae,mamastrovirus,MamAST
1239580,mamastrovirus 16,MaAtV-16,1,1239580,group iv,na,astroviridae,mamastrovirus,MamAST
4021665,mamastrovirus 17,MaAtV-17,1,1239581,group iv,na,astroviridae,mamastrovirus,MamAST
1239582,mamastrovirus 18,MaAtV-18,1,1239582,group iv,na,astroviridae,mamastrovirus,MamAST
4021703,mamastrovirus 19,MaAtV-19,1,1239583,group iv,na,astroviridae,mamastrovirus,MamAST
3520753,mamastrovirus 2,MaAtV-2,1,1239566,group iv,na,astroviridae,mamastrovirus,MamAST
26552797,mamastrovirus 3,MaAtV-3,1,1239567,group iv,na,astroviridae,mamastrovirus,MamAST
27509451,mamastrovirus 4,MaAtV-4,1,1239568,group iv,na,astroviridae,mamastrovirus,MamAST
27509453,mamastrovirus 5,MaAtV-5,1,1239569,group iv,na,astroviridae,mamastrovirus,MamAST
27509455,mamastrovirus 6,MaAtV-6,1,1239570,group iv,na,astroviridae,mamastrovirus,MamAST
4032419,mamastrovirus 7,MaAtV-7,1,1239571,group iv,na,astroviridae,mamastrovirus,MamAST
1239572,mamastrovirus 8,MaAtV-8,1,1239572,group iv,na,astroviridae,mamastrovirus,MamAST
4115924,mamastrovirus 9,MaAtV-9,1,1239573,group iv,na,astroviridae,mamastrovirus,MamAST
4220467,minke whale astrovirus 2,minke whale astrovirus 2,0,943161,group iv,na,astroviridae,mamastrovirus,MamAST
27064444,porcine astrovirus 1,,,1559735,group iv,na,astroviridae,mamastrovirus,MamAST
27064382,porcine astrovirus 2,,,1105378,group iv,na,astroviridae,mamastrovirus,MamAST
27064424,porcine astrovirus 3,,,1254425,group iv,na,astroviridae,mamastrovirus,MamAST
27064384,porcine astrovirus 4,,,1105379,group iv,na,astroviridae,mamastrovirus,MamAST
1961665,qinghai himalayan marmot astrovirus 1,qinghai himalayan marmot astrovirus 1,0,1961665,group iv,na,astroviridae,mamastrovirus,MamAST
